 virtual                     shared   shared  private  private
    size      RSS      PSS    clean    dirty    clean    dirty    # object
      12       12        4        0        8        0        4    3 [anon:linker_alloc_64]
      20       20       16        0        4        0       16    5 [anon:linker_alloc_vector]
     324        0        0        0        0        0        0   27 [anon:thread signal stack]
  112996      324      140        0      188        0      136  251 [anon]
    1008       16       16        0        0        0       16    1 [stack:1684]
    1008       24       24        0        0        0       24    1 [stack:1685]
    1036       20       20        0        0        0       20    1 [stack:1686]
    1036       28       28        0        0        0       28    1 [stack:1698]
    1036       24       24        0        0        0       24    1 [stack:1700]
    1036       20       20        0        0        0       20    1 [stack:1712]
    1008       44       44        0        0        0       44    1 [stack:1713]
    1008       44       44        0        0        0       44    1 [stack:1715]
    1008       40       40        0        0        0       40    1 [stack:1782]
    1008       40       40        0        0        0       40    1 [stack:1789]
    1008       40       40        0        0        0       40    1 [stack:1873]
    1036       20       20        0        0        0       20    1 [stack:1977]
    1008       72       72        0        0        0       72    1 [stack:1994]
    1008       16       16        0        0        0       16    1 [stack:1996]
    1012        8        8        0        0        0        8    1 [stack:1999]
    1012        4        4        0        0        0        4    1 [stack:2000]
    1012        4        4        0        0        0        4    1 [stack:2002]
    1012        4        4        0        0        0        4    1 [stack:2003]
    1012        4        4        0        0        0        4    1 [stack:2005]
    1012        8        8        0        0        0        8    1 [stack:2006]
    1012        8        8        0        0        0        8    1 [stack:2007]
    1012        8        8        0        0        0        8    1 [stack:2008]
    1012        8        8        0        0        0        8    1 [stack:2009]
    1008       16       16        0        0        0       16    1 [stack:2010]
    1008       16       16        0        0        0       16    1 [stack:2011]
    8188      152      152        0        0        0      152    1 [stack]
       4        4        0        4        0        0        0    1 [vdso]
       4        4        0        4        0        0        0    1 [vvar]
   24128        0        0        0        0        0        0    5 anon_inode:dmabuf
-------- -------- -------- -------- -------- -------- -------- ---- ------------------------------
 virtual                     shared   shared  private  private
    size      RSS      PSS    clean    dirty    clean    dirty    # object
-------- -------- -------- -------- -------- -------- -------- ---- ------------------------------
 1440040   197780   127841    24548    50180      648   122404 1137 TOTAL
